Interpolazione della f. di Runge
-----------------------------------------------------
Parametri: a=-5, b=5, 5001 punti di valutazione
-----------------------------------------------------
Risultati:
|grado|	 |err interp equi   |	 |err interp cheb   |	 |err interp equi p |	 |err interp cheb p |
-----------------------------------------------------
|    2|	 |6.462292231266e-01|	 |3.663367283759e+00|	 |1.236203308784e+02|	 |5.058959841093e+03|
|2.244102e+05|	 |1.040794193894e+07|	 |4.966364197796e+08|	 |2.415026729962e+10|	 |1.191038052876e+12|
|5.945947e+13|	 |2.989374164255e+15|	 |6.005977463736e-01|	 |6.921570780777e-02|	 |1.035889945842e-02|
|1.401747e-03|	 |1.938857526699e-04|	 |2.669555953061e-05|	 |3.641437896440e-06|	 |5.017641462324e-07|
|6.881170e-08|	 |9.411576962215e-09|	 |1.294227169879e-09|	 |6.462292231266e-01|	 |3.663367283759e+00|
|1.236203e+02|	 |5.058959937344e+03|	 |2.244094823544e+05|	 |1.040478371332e+07|	 |1.108846788207e+09|
|5.687955e+10|	 |1.806113470542e+15|	 |1.005785387698e+16|	 |2.465038116753e+18|	 |6.005977463736e-01|
|6.921571e-02|	 |1.035889945907e-02|	 |1.401747445710e-03|	 |1.973678071748e-04|	 |1.885528514620e-01|
|2.286936e+00|	 |6.023382121217e+03|	 |1.290847315367e+05|	 |1.964452164422e+06|	 |2.576711448169e+07|
|   12|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|   22|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|   32|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|   42|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|   52|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
|    0|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|	 |0.000000000000e+00|
