TAB ERR
   2:	1.171875
   2:	7.418307 (neg)
   2:	1.549175 (pos)

   4:	3.969727
   4:	7.206467 (neg)
   4:	1.319342 (pos)

   8:	5.477600
   8:	7.228592 (neg)
   8:	1.261820 (pos)

  16:	5.868473
  16:	7.238816 (neg)
  16:	1.247436 (pos)

  32:	5.967060
  32:	7.241665 (neg)
  32:	1.243839 (pos)

  64:	5.991761
  64:	7.242396 (neg)
  64:	1.242940 (pos)

 128:	5.997940
 128:	7.242579 (neg)
 128:	1.242716 (pos)

 256:	5.999485
 256:	7.242625 (neg)
 256:	1.242659 (pos)

 512:	5.999871
 512:	7.242637 (neg)
 512:	1.242645 (pos)

1024:	5.999968
1024:	7.242640 (neg)
1024:	1.242642 (pos)

